"Time (s)","Fx (N)","Fy (N)","Fz (N)","Tx (Nm)","Ty (Nm)","Tz (Nm)","AI7 (V)","AI8 (V)"
0.116000,-0.294428,0.080295,-1.132753,-0.006333,0.013083,0.003751,0.002514,-0.000729
0.116500,-0.270366,0.072763,-1.134048,-0.006437,0.012371,0.003498,0.002838,-0.002674
0.117000,-0.282285,0.063823,-1.152743,-0.006194,0.012607,0.003802,0.002838,0.002838
0.117500,-0.292376,0.060418,-1.135767,-0.006110,0.012884,0.003802,0.003163,-0.002999
0.118000,-0.286419,0.080281,-1.129575,-0.005963,0.012812,0.003670,0.002514,-0.001377
0.118500,-0.256390,0.076376,-1.127808,-0.006001,0.012754,0.003426,0.002514,0.000568
0.119000,-0.274493,0.061004,-1.127868,-0.006264,0.012370,0.003270,0.003163,-0.004296
0.119500,-0.278393,0.079889,-1.150731,-0.006586,0.012527,0.003497,0.003811,-0.001053
0.120000,-0.274495,0.072984,-1.090226,-0.005910,0.012910,0.003507,0.001541,-0.001377
0.120500,-0.294554,0.058723,-1.113858,-0.006686,0.012682,0.003404,0.002190,-0.001702
0.121000,-0.262436,0.063138,-1.104604,-0.006303,0.012161,0.003302,0.002514,-0.000404
0.121500,-0.278571,0.065868,-1.121136,-0.006047,0.012775,0.003247,0.003163,-0.003647
0.122000,-0.292590,0.052920,-1.090260,-0.006244,0.012611,0.003378,0.003163,0.001217
0.122500,-0.252405,0.062060,-1.114875,-0.006219,0.012601,0.003337,0.002514,-0.001377
0.123000,-0.250316,0.068192,-1.151292,-0.006002,0.012697,0.003451,0.002514,-0.003647
0.123500,-0.262455,0.077188,-1.118316,-0.006373,0.012130,0.003221,0.003163,0.001217
0.124000,-0.244201,0.080828,-1.124182,-0.006403,0.012383,0.003651,0.003487,-0.002350
0.124500,-0.284529,0.053089,-1.137459,-0.006252,0.013010,0.003381,0.002190,0.000244
0.125000,-0.286563,0.079843,-1.124406,-0.006627,0.012876,0.003330,0.002514,-0.000729
0.125500,-0.270467,0.082015,-1.121240,-0.006297,0.012145,0.003276,0.002514,-0.001377
0.126000,-0.284632,0.059749,-1.108106,-0.006407,0.012511,0.003127,0.003163,-0.000729
0.126500,-0.284540,0.040954,-1.080523,-0.006592,0.012573,0.003404,0.003487,-0.003647
0.127000,-0.270573,0.053914,-1.108296,-0.006301,0.012846,0.003190,0.002838,-0.001377
0.127500,-0.264556,0.069292,-1.108147,-0.005754,0.012634,0.003170,0.002838,-0.000404
0.128000,-0.258451,0.068016,-1.121523,-0.006092,0.012577,0.003281,0.003163,-0.002674
0.128500,-0.258541,0.077298,-1.098580,-0.006369,0.013099,0.003231,0.003487,0.000244
0.129000,-0.266515,0.068002,-1.121708,-0.006511,0.013041,0.003279,0.002514,-0.002350
0.129500,-0.280491,0.059839,-1.148013,-0.006645,0.012576,0.003294,0.002514,-0.002674
0.130000,-0.266467,0.072656,-1.124752,-0.006207,0.012264,0.003248,0.002190,0.002514
0.130500,-0.288496,0.074187,-1.120110,-0.006090,0.012497,0.003468,0.002514,-0.002674
0.131000,-0.276497,0.055224,-1.131114,-0.006340,0.012688,0.003326,0.002514,-0.001377
0.131500,-0.254459,0.056383,-1.138538,-0.005970,0.012835,0.003224,0.003487,-0.002350
0.132000,-0.268511,0.067133,-1.121003,-0.005715,0.012796,0.003309,0.002838,-0.002026
0.132500,-0.246420,0.063136,-1.088216,-0.006072,0.012535,0.003313,0.002838,-0.000729
0.133000,-0.246411,0.077498,-1.114907,-0.006044,0.013220,0.003406,0.002838,-0.003647
0.133500,-0.266555,0.039939,-1.128558,-0.006284,0.013162,0.003189,0.001866,0.001217
0.134000,-0.256449,0.094968,-1.114885,-0.006185,0.012693,0.003318,0.002514,-0.001377
0.134500,-0.256421,0.080675,-1.098070,-0.006307,0.012174,0.003310,0.002838,-0.002999
0.135000,-0.274503,0.058729,-1.097353,-0.006222,0.012782,0.003415,0.002838,0.000568
0.135500,-0.274400,0.054038,-1.157806,-0.006678,0.012710,0.003435,0.003163,-0.003647
0.136000,-0.258378,0.061033,-1.148158,-0.006272,0.012611,0.003360,0.003163,0.000568
0.136500,-0.264402,0.057791,-1.120495,-0.005857,0.012943,0.003533,0.003163,-0.002350
0.137000,-0.244326,0.062107,-1.114621,-0.005986,0.012469,0.003424,0.002514,-0.003972
0.137500,-0.242292,0.070431,-1.144914,-0.006227,0.012956,0.003484,0.002838,-0.001702
0.138000,-0.252525,0.047894,-1.125938,-0.006392,0.012942,0.003081,0.002190,-0.002350
0.138500,-0.258418,0.065569,-1.104619,-0.006477,0.012801,0.003421,0.003163,-0.000729
0.139000,-0.254406,0.065767,-1.104309,-0.005867,0.012689,0.003425,0.002838,-0.002674
0.139500,-0.268546,0.059797,-1.114970,-0.006318,0.012861,0.003220,0.002190,-0.004945
0.140000,-0.242421,0.046362,-1.105883,-0.006545,0.012140,0.003106,0.002838,-0.000729
